         1933 function calls in 2.303 seconds

   Ordered by: cumulative time
   List reduced from 233 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.218    2.218    2.303    2.303 C:\Users\joinm\Documents\fingerprint-fractal-dimension\app\fractal_dimension\delaunay_dimension.py:6(delaunay_dimension)
       20    0.037    0.002    0.037    0.002 {method 'astype' of 'numpy.ndarray' objects}
      101    0.034    0.000    0.034    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.019    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:39(_amax)
        1    0.000    0.000    0.018    0.018 {method 'max' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.013    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:43(_amin)
        1    0.000    0.000    0.012    0.012 {method 'min' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.007    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:321(mkstemp)
       13    0.006    0.000    0.006    0.000 {built-in method nt.open}
       12    0.000    0.000    0.006    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:243(_mkstemp_inner)
        1    0.004    0.004    0.004    0.004 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_shape_base_impl.py:625(column_stack)
       37    0.001    0.000    0.003    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\linalg\_linalg.py:2598(norm)
       12    0.000    0.000    0.002    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:114(_sanitize_params)
       12    0.000    0.000    0.002    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:317(gettempdirb)
       12    0.000    0.000    0.002    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:301(_gettempdir)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:183(_get_default_tempdir)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:426(axis_nan_policy_wrapper)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       13    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:153(__next__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_stats_py.py:10394(linregress)
       14    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:55(_any)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\function_base.py:311(geomspace)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2487(_signature_from_callable)
       12    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:47(_sum)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       12    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:85(_infer_return_type)
       13    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\random.py:458(choices)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2383(_signature_from_function)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:45(_broadcast_arrays)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3373(signature)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3094(from_callable)
       13    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:142(rng)
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:1331(getfullargspec)
       13    0.000    0.000    0.000    0.000 <frozen ntpath>:573(abspath)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_function_base_impl.py:2674(cov)
        1    0.000    0.000    0.000    0.000 {built-in method nt.write}
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:156(_candidate_tempdir_list)
        5    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:2436(any)


